date,grsr,keyword,geo,time,gprop,category,period,weight,grsr_n,mx,categories,categories2,selected,pts1a,pts2,days1a,days2,grp,post1a,post2
2019-08-04,23,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,17.092129347162903,68.22919367383977,PHK,PHK,1,17972,18049,20,9,0,1,1
2019-08-11,39,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,28.982306284319705,68.22919367383977,PHK,PHK,1,17972,18049,21,10,0,1,1
2019-08-18,38,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,28.239170225747408,68.22919367383977,PHK,PHK,1,17972,18049,22,11,0,1,1
2019-08-25,52,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,38.64307504575961,68.22919367383977,PHK,PHK,1,17972,18049,23,12,0,1,1
2019-09-01,15,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,11.147040878584502,68.22919367383977,PHK,PHK,1,17972,18049,24,13,0,1,1
2019-09-08,100,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,74.31360585723002,68.22919367383977,PHK,PHK,1,17972,18049,25,14,0,1,1
2019-09-15,43,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,31.9548505186089,68.22919367383977,PHK,PHK,1,17972,18049,26,15,0,1,1
2019-09-22,36,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,26.752898108602803,68.22919367383977,PHK,PHK,1,17972,18049,27,16,0,1,1
2019-09-29,29,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,21.550945698596703,68.22919367383977,PHK,PHK,1,17972,18049,28,17,0,1,1
2019-10-06,29,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,21.550945698596703,68.22919367383977,PHK,PHK,1,17972,18049,29,18,0,1,1
2019-10-13,51,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,37.89993898718731,68.22919367383977,PHK,PHK,1,17972,18049,30,19,0,1,1
2019-10-20,50,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,37.15680292861501,68.22919367383977,PHK,PHK,1,17972,18049,31,20,0,1,1
2019-10-27,51,phk buruh+phk karyawan+phk corona,ID,2019-01-01 2019-10-31,web,0,2019,0.507035740663434,37.89993898718731,68.22919367383977,PHK,PHK,1,17972,18049,32,21,0,1,1
2019-01-06,91,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,86.02498189717596,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-10,-21,0,0,0
2019-01-13,88,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,83.18899348298334,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-9,-20,0,0,0
2019-01-20,70,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,66.17306299782764,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-8,-19,0,0,0
2019-01-27,69,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,65.22773352643011,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-7,-18,0,0,0
2019-02-03,70,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,66.17306299782764,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-6,-17,0,0,0
2019-02-10,69,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,65.22773352643011,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-5,-16,0,0,0
2019-02-17,65,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,61.446415640839966,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-4,-15,0,0,0
2019-02-24,60,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,56.71976828385227,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-3,-14,0,0,0
2019-03-03,54,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,51.04779145546704,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-2,-13,0,0,0
2019-03-10,63,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,59.55575669804488,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,-1,-12,0,0,0
2019-03-17,60,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,56.71976828385227,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,0,-11,0,0,0
2019-03-24,43,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,40.649167270094125,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,1,-10,0,1,0
2019-03-31,68,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,64.28240405503259,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,2,-9,0,1,0
2019-04-07,72,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,68.06372194062274,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,3,-8,0,1,0
2019-04-14,44,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,41.59449674149167,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,4,-7,0,1,0
2019-04-21,54,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,51.04779145546704,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,5,-6,0,1,0
2019-04-28,50,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,47.2664735698769,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,6,-5,0,1,0
2019-05-05,50,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,47.2664735698769,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,7,-4,0,1,0
2019-05-12,55,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,51.99312092686459,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,8,-3,0,1,0
2019-05-19,44,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,41.59449674149167,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,9,-2,0,1,0
2019-05-26,27,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,25.52389572773352,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,10,-1,0,1,0
2019-06-02,38,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,35.922519913106434,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,11,0,0,1,0
2019-06-09,79,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,74.6810282404055,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,12,1,0,1,1
2019-06-16,100,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,94.5329471397538,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,13,2,0,1,1
2019-06-23,75,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,70.89971035481535,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,14,3,0,1,1
2019-06-30,85,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,80.35300506879072,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,15,4,0,1,1
2019-07-07,84,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,79.4076755973932,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,16,5,0,1,1
2019-07-14,77,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,72.79036929761041,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,17,6,0,1,1
2019-07-21,62,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,58.61042722664735,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,18,7,0,1,1
2019-07-28,60,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,56.71976828385227,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,19,8,0,1,1
2019-08-04,60,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,56.71976828385227,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,20,9,0,1,1
2019-08-11,61,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,57.66509775524982,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,21,10,0,1,1
2019-08-18,80,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,75.62635771180302,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,22,11,0,1,1
2019-08-25,63,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,59.55575669804488,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,23,12,0,1,1
2019-09-01,65,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,61.446415640839966,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,24,13,0,1,1
2019-09-08,55,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,51.99312092686459,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,25,14,0,1,1
2019-09-15,69,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,65.22773352643011,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,26,15,0,1,1
2019-09-22,67,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,63.33707458363504,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,27,16,0,1,1
2019-09-29,54,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,51.04779145546704,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,28,17,0,1,1
2019-10-06,55,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,51.99312092686459,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,29,18,0,1,1
2019-10-13,71,jobstreet lowongan+olx lowongan,ID,2019-01-01 2019-10-31,web,0,2019,1.051770265635123,67.1183924692252,111.2596504666492,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,18049,30,19,0,1,1
