date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-06-28,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,15,11,3,1,1,1
2020-07-05,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,16,12,4,1,1,1
2020-07-12,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,17,13,5,1,1,1
2020-07-19,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,18,14,6,1,1,1
2020-07-26,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,19,15,7,1,1,1
2020-08-02,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,20,16,8,1,1,1
2020-08-09,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,21,17,9,1,1,1
2020-08-16,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,22,18,10,1,1,1
2020-08-23,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,23,19,11,1,1,1
2020-08-30,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,24,20,12,1,1,1
2020-09-06,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,25,21,13,1,1,1
2020-09-13,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,26,22,14,1,1,1
2020-09-20,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,27,23,15,1,1,1
2020-09-27,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,28,24,16,1,1,1
2020-10-04,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,29,25,17,1,1,1
2020-10-11,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,30,26,18,1,1,1
2020-10-18,2,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,31,27,19,1,1,1
2020-10-25,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,32,28,20,1,1,1
