date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days2
2020-10-04,29,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,29,17
2020-10-11,30,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,30,18
2020-10-18,29,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,31,19
2020-10-25,23,jobstreet lowongan+olx lowongan,ID,2020-01-01 2020-10-31,web,0,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,32,20
2020-01-05,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-10,-22
2020-01-12,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-9,-21
2020-01-19,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-8,-20
2020-01-26,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-7,-19
2020-02-02,9,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-6,-18
2020-02-09,8,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-5,-17
2020-02-16,12,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-4,-16
2020-02-23,5,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-3,-15
2020-03-01,10,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-2,-14
2020-03-08,6,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,-1,-13
2020-03-15,7,lowongan kurir+lowongan kerja kurir,ID,2020-01-01 2020-10-31,web,0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,0,-12
