subject,related_queries,value,geo,keyword,category,categories,categories2,selected,description
71,top,loker jakarta,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
63,top,kurir jne,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
61,top,lowongan lazada,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
60,top,lowongan kurir lazada,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
52,top,lowongan kurir jakarta,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
45,top,loker lazada,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
45,top,loker kurir lazada,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
43,top,kurir shopee,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
43,top,lowongan jne,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
42,top,lowongan kurir jne,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
42,top,kurir j&t,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
41,top,kurir sicepat,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
41,top,sicepat,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
41,top,loker kurir terbaru,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
38,top,loker kurir bandung,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
38,top,loker bandung,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
35,top,loker kurir jne,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
35,top,loker jne,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
35,top,info loker,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
34,top,info loker kurir,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
30,top,lowongan shopee,ID,"""lowongan kurir""+""loker kurir""",0,Kurir,Mencari pekerjaan/menyiapkan usaha,1,NA
100,top,cara daftar grab,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
81,top,gojek online,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
81,top,daftar gojek online,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
76,top,cara daftar gojek,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
67,top,daftar grab bike,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
67,top,grab bike,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
64,top,daftar grab online,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
43,top,daftar gojek 2020,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
35,top,daftar grab 2020,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
28,top,daftar grab car,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
28,top,grab car,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
19,top,daftar grab driver,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
19,top,grab driver,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
14,top,daftar gojek driver,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
14,top,gojek driver,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,daftar grab food,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,grab food,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,daftar gojek 2020 online,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
11,top,cara daftar gojek online,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
10,top,daftar grab online 2020,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
10,top,cara daftar grab bike,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
9,top,cara daftar grab online,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
9,top,daftar grab bike online,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
9,top,daftar grab motor,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
9,top,syarat daftar grab,ID,"""daftar gojek""+""daftar grab""",0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
100,top,cara jualan online laris,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
92,top,cara jualan online shopee,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
82,top,cara jualan online di shopee,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
82,top,cara jualan di shopee,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
65,top,cara jualan online tanpa modal,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
65,top,jualan online tanpa modal,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
56,top,cara jualan online di facebook,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
45,top,cara jualan online shop,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
43,top,cara jualan online di lazada,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
43,top,cara jualan di lazada,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
43,top,cara jualan online makanan,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
40,top,bisnis online,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
34,top,bagaimana cara jualan online,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
32,top,cara jualan online cepat laku,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
27,top,cara jualan online bagi pemula,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
24,top,cara jualan online di instagram,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
23,top,cara jualan online agar laris,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
23,top,daftar jualan online,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
23,top,cara berjualan online,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
22,top,cara jualan online untuk pemula,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
22,top,cara jualan online di fb,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
20,top,cara jualan online biar laris,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
19,top,tips jualan online,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
17,top,cara jualan online di tokopedia,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
17,top,cara jualan di tokopedia,ID,"""modal jualan""+""cara jualan online""",0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
