date,grsr,keyword,geo,time,gprop,category,period,weight,grsr_n,mx,categories,categories2,selected,pts1a,pts1b,pts2,days1a,days1b,days2,grp,post1a,post1b,post2
2019-07-14,17,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,17,74.53372675495778,PHK,PHK,1,17972,17993,18049,17,14,6,0,1,1,1
2019-07-21,20,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,20,74.53372675495778,PHK,PHK,1,17972,17993,18049,18,15,7,0,1,1,1
2019-07-28,20,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,20,74.53372675495778,PHK,PHK,1,17972,17993,18049,19,16,8,0,1,1,1
2019-08-04,29,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,29.000000000000004,74.53372675495778,PHK,PHK,1,17972,17993,18049,20,17,9,0,1,1,1
2019-08-11,12,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,12.000000000000002,74.53372675495778,PHK,PHK,1,17972,17993,18049,21,18,10,0,1,1,1
2019-08-18,12,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,12.000000000000002,74.53372675495778,PHK,PHK,1,17972,17993,18049,22,19,11,0,1,1,1
2019-08-25,14,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,13.999999999999998,74.53372675495778,PHK,PHK,1,17972,17993,18049,23,20,12,0,1,1,1
2019-09-01,18,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,18.000000000000004,74.53372675495778,PHK,PHK,1,17972,17993,18049,24,21,13,0,1,1,1
2019-09-08,100,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,100,74.53372675495778,PHK,PHK,1,17972,17993,18049,25,22,14,0,1,1,1
2019-09-15,25,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,25,74.53372675495778,PHK,PHK,1,17972,17993,18049,26,23,15,0,1,1,1
2019-09-22,10,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,10,74.53372675495778,PHK,PHK,1,17972,17993,18049,27,24,16,0,1,1,1
2019-09-29,16,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,16,74.53372675495778,PHK,PHK,1,17972,17993,18049,28,25,17,0,1,1,1
2019-10-06,37,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,37,74.53372675495778,PHK,PHK,1,17972,17993,18049,29,26,18,0,1,1,1
2019-10-13,13,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,13,74.53372675495778,PHK,PHK,1,17972,17993,18049,30,27,19,0,1,1,1
2019-10-20,15,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,15,74.53372675495778,PHK,PHK,1,17972,17993,18049,31,28,20,0,1,1,1
2019-10-27,23,"""phk buruh""+""phk karyawan""+""phk corona""",ID,2019-01-01 2019-10-31,web,0,2019,0.7453372675495779,23,74.53372675495778,PHK,PHK,1,17972,17993,18049,32,29,21,0,1,1,1
2019-01-06,100,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,84.45494994438265,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-10,-13,-21,0,0,0,0
2019-01-13,97,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,81.92130144605116,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-9,-12,-20,0,0,0,0
2019-01-20,98,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,82.765850945495,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-8,-11,-19,0,0,0,0
2019-01-27,89,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,75.16490545050057,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-7,-10,-18,0,0,0,0
2019-02-03,84,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,70.94215795328142,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-6,-9,-17,0,0,0,0
2019-02-10,92,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,77.69855394883204,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-5,-8,-16,0,0,0,0
2019-02-17,89,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,75.16490545050057,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-4,-7,-15,0,0,0,0
2019-02-24,79,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,66.7194104560623,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-3,-6,-14,0,0,0,0
2019-03-03,81,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,68.40850945494995,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-2,-5,-13,0,0,0,0
2019-03-10,84,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,70.94215795328142,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,-1,-4,-12,0,0,0,0
2019-03-17,79,"""jobstreet""",ID,2019-01-01 2019-10-31,web,0,2019,0.8871377554007377,66.7194104560623,105.04271874945844,Situs loker,Mencari pekerjaan/menyiapkan usaha,1,17972,17993,18049,0,-3,-11,0,0,0,0
