subject,related_queries,value,geo,keyword,category,categories,categories2,selected,description
85,top,cara daftar gojek,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
71,top,daftar online gojek,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
62,top,daftar grab online,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
48,top,daftar grab driver,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
47,top,grab bike,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
44,top,daftar grab bike,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
38,top,daftar driver gojek,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
38,top,gojek driver,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
34,top,daftar gojek 2020,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
31,top,daftar grab 2020,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
30,top,daftar grab food,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
29,top,daftar grab car,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
18,top,cara daftar driver grab,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
17,top,syarat daftar grab,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
16,top,daftar gojek online 2020,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
16,top,cara daftar grab food,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
15,top,cara daftar grab online,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
15,top,daftar gofood gojek,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
14,top,daftar grab online 2020,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,cara daftar gojek driver,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,cara daftar grab car,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,cara daftar gojek online,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
13,top,cara daftar grab bike,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
12,top,cara daftar gofood,ID,daftar gojek+daftar grab,0,Driver online,Mencari pekerjaan/menyiapkan usaha,1,NA
100,top,jualan modal kecil,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
67,top,jualan tanpa modal,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
65,top,cara jualan di shopee,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
64,top,cara jualan online di shopee,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
36,top,jualan online tanpa modal,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
14,top,cara jualan online di facebook,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
14,top,cara jualan online di lazada,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
12,top,tips jualan online,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
4,top,ide jualan makanan modal kecil untung besar,ID,modal jualan+cara jualan online,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,NA
